occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,final_name,extinct,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement,genus.1,time_bins,time_contain,time_major,time_buffer,time_overlap,primary_reference,midpoint_ma
1348488,occ,,,182709.0,Sphyraena sphyraena,species,36204.0,species not entered,Sphyraena sphyraena,N,Sphyraena,,genus,36204.0,Late Pleistocene,Holocene,0.126,0.0,Stiner and Munro,2011.0,60903.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,23.145,37.414722,,Franchthi Cave,,,GR,Argolida,,,seconds,,"Franchthi Cave is a very large, elongate chamber in a Lower Cretaceous limestone headland. It sits on the southwestern shore of the Argolid Peninsula.",gp_mid,"23,15","37,41",307,GR,,,,,,,,,,,,,,,not reported,,,,,,,,,,cave,,,"macrofossils,mesofossils,microfossils",none,,"teeth,limb elements,shells",,fractures,"stone tools,cutmarks,bone tools,burned bone,charcoal/hearths",,"body,charcoalification,anthropogenic",,,,,,,,,,,,,taphonomic,"surface (in situ),sieve,field collection",,all microfossils,17975,1400 cm3 (volume),,,,This collection refers to the trench H1B,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Late Pleistocene,-,Late Pleistocene,"Late Pleistocene, Holocene","Late Pleistocene, Holocene","M. C. Stiner and N. D. Munro. 2011. On the evolution of diet and landscape during the Upper Paleolithic through Mesolithic at Franchthi Cave (Peloponnese, Greece). Journal of Human Evolution 60:618-636",0.063
GAB14,,,,,Sphyraena sternbergensis,species,,,Sphyraena sternbergensis,Y,,,,,Eocene,,56.0,33.9,,,,,,,,Sphyraena,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95
GAB15,,,,,Sphyraena striata,species,,,Sphyraena striata,Y,,,,,Ypresian (Early Eocene),,56.0,47.8,,,,,,,,Sphyraena,,,,,,,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9
1230919,occ,,,162017.0,Sphyraena substriata,species,357162.0,,Sphyraena substriata,Y,Sphyraena substriata,,species,357161.0,Badenian,,13.65,12.7,Schultz,1979.0,52778.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,20.516666,50.666668,,"Korytnica Clays, Holy Cross Mts.",,,PL,,,based on nearby landmark,minutes,small collection,Locality in Fore- Carpathian Depression in South Poland,gp_mid,"21,83","48,06",305,PL,,,,,group of beds,,,,,,,,,,claystone,,,,,"""limestone""",,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Serravallian,Serravallian,Serravallian,Serravallian,Serravallian,"O. Schultz. 1979. Supplementary notes on elasmobranch and teleost fish remains from the Korytnica Clays (Middle Miocene; Holy Cross Mountains, Central Poland). Acta Geologica Polonica 29(3):287-293",13.175
GAB16,,,,,Sphyraena substriata,species,,,Sphyraena substriata,Y,,,,,Middle Miocene,,15.97,11.607999999999999,,,,,,,,Sphyraena,,,,,,,,,,,Austria and Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.789
GAB17,,,,,Sphyraena tyrolensis,species,,,Sphyraena tyrolensis,Y,,,,,Oligocene,,33.9,23.03,,,,,,,,Sphyraena,,,,,,,,,,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.465
GAB18,,,,,Sphyraena viannai,species,,,Sphyraena viannai,Y,,,,,Eocene,,56.0,33.9,,,,,,,,Sphyraena,,,,,,,,,,,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95
GAB19,,,,,Sphyraena viennensis,species,,,Sphyraena viennensis,Y,,,,,Middle Miocene,,15.97,11.607999999999999,,,,,,,,Sphyraena,,,,,,,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.789
GAB20,,,,,Sphyraena weberi,species,,,Sphyraena weberi,Y,,,,,Miocene,,23.03,5.332999999999999,,,,,,,,Sphyraena,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1815
GAB21,,,,,Sphyraena winkleri,species,,,Sphyraena winkleri,Y,,,,,Pliocene,,5.332999999999999,2.588,,,,,,,,Sphyraena,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9604999999999997
