Caranx_caninus
Centropomus_armatus
Centropomus_ensiferus
Centropomus_medius
Centropomus_nigrescens
Centropomus_parallelus
Centropomus_pectinatus
Centropomus_robalito
Centropomus_undecimalis
Centropomus_unionensis
Centropomus_viridis
Coryphaena_equiselis
Echeneis_naucrates
Gnathanodon_speciosus
Istiophorus_platypterus
Lates_angustifrons
Lates_calcarifer
Lates_japonicus
Lates_microlepis
Lates_niloticus
Lates_stappersii
Makaira_nigricans
Nematistius_pectoralis
Psammoperca_waigiensis
Sphyraena_africana
Sphyraena_barracuda
Sphyraena_borealis
Sphyraena_ensis
Sphyraena_forsteri
Sphyraena_guachancho
Sphyraena_helleri
Sphyraena_iburiensis
Sphyraena_japonica
Sphyraena_jello
Sphyraena_obtusata
Sphyraena_pinguis
Sphyraena_putnamae
Sphyraena_qenie
Sphyraena_sphyraena
Sphyraena_viridensis
Tetrapturus_audax
Xiphias_gladius
Centropomus_irae
Centropomus_mexicanus
Centropomus_poeyi
Sphyraena_argentea
Sphyraena_chrysotaenia
Sphyraena_flavicauda
Sphyraena_idiastes
Sphyraena_novaehollandiae
Hypopterus_macropterus
Sphyraena_acutipinnis
Sphyraena_waitii
