Caranx_caninus
Centropomus_armatus
Centropomus_ensiferus
Centropomus_medius
Centropomus_nigrescens
Centropomus_pectinatus
Centropomus_robalito
Centropomus_undecimalis
Centropomus_unionensis
Centropomus_viridis
Coryphaena_equiselis
Echeneis_naucrates
Gnathanodon_speciosus
Istiophorus_platypterus
Lates_angustifrons
Lates_calcarifer
Lates_japonicus
Lates_microlepis
Lates_niloticus
Lates_stappersii
Makaira_nigricans
Nematistius_pectoralis
Psammoperca_waigiensis
Sphyraena_africana
Sphyraena_barracuda
Sphyraena_borealis
Sphyraena_ensis
Sphyraena_forsteri
Sphyraena_guachancho
Sphyraena_helleri
Sphyraena_iburiensis
Sphyraena_japonica
Sphyraena_jello
Sphyraena_obtusata
Sphyraena_picudilla
Sphyraena_pinguis
Sphyraena_putnamae
Sphyraena_qenie
Sphyraena_viridensis
Tetrapturus_audax
Xiphias_gladius
Sphyraena_argentea
Sphyraena_idiastes
Sphyraena_novaehollandiae
Sphyraena_chrysotaenia
Sphyraena_flavicauda
Centropomus_irae
Centropomus_poeyi
Centropomus_mexicanus
Centropomus_parallelus
Hypopterus_macropterus
Sphyraena_acutipinnis
Sphyraena_waitii
