"model" "logml" "se_delta" "se_boot" "bf" "pr" "pr.ci_lower" "pr.ci_upper"
"iln" -536.573980786701 0.32267856698321 0.475257291697664 1 0.999999999993294 0.999999999971059 0.999999999998403
"gbm" -562.302019175086 0.419092225641645 0.551420967186908 6.70586641445035e-12 6.70586641440538e-12 1.5965877690093e-12 2.89410823213012e-11
